feature_set,model,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std,auprc_mean,auprc_std
all_telemetry,logreg,0.9138888888888889,0.012729376930432862,0.9397724866380369,0.009076078116966072,0.9705403791610688,0.009786255122627537,0.9111111111111111,0.01924500897298752,0.9791666666666666,0.007637626158259773,0.9931500982876678,0.0023985176473718312
all_telemetry,rf,0.9083333333333332,0.044095855184409796,0.9587627565976332,0.016328488707445223,0.9513283378245868,0.02749220960694036,0.9666666666666667,0.01666666666666669,0.9847222222222222,0.012756625003561197,0.9949858427301659,0.004379556862967679
operational_only,logreg,0.8305555555555556,0.03938179688543839,0.8858042542253068,0.033800011298241846,0.9321237566851602,0.013278894836018688,0.8444444444444444,0.05091750772173152,0.946388888888889,0.020109653108598042,0.9822010661385416,0.006420890682978375
operational_only,rf,0.8694444444444445,0.02545875386086582,0.9424417436396046,0.001434384536761641,0.9304236931911286,0.02101792063143137,0.9555555555555556,0.02545875386086574,0.965,0.0172199819331433,0.988248382457143,0.005947755535661994
semantic_behavioral,logreg,0.8638888888888889,0.03154949081000147,0.9103569875100975,0.015444596290372212,0.9477488206996404,0.031498484481463876,0.8777777777777778,0.0481125224324688,0.9491666666666667,0.015898986690282457,0.9839708262688557,0.004999331146472531
semantic_behavioral,rf,0.8722222222222221,0.03469443332443556,0.9454345143662964,0.008627250062131197,0.9305779569892473,0.022283774791836568,0.9611111111111111,0.00962250448649381,0.9716666666666667,0.01816207893141941,0.9897495679504779,0.007886936107807836
