feature_group,model,target,n_splits,n_features,features,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
all,rf,is_attack,3,11,"['prompt_tokens', 'response_tokens', 'total_tokens', 'latency_total_s', 'num_llm_calls', 'num_tool_calls', 'unique_tool_calls', 'tool_call_entropy', 'first_tool_call_position', 'num_suspicious_tool_calls', 'used_any_suspicious_tool']",0.8777777777777778,0.01924500897298746,0.9449820788530466,0.010120292403939421,0.9594444444444444,0.01965559952259388
tool_use,rf,is_attack,3,6,"['num_tool_calls', 'unique_tool_calls', 'tool_call_entropy', 'first_tool_call_position', 'num_suspicious_tool_calls', 'used_any_suspicious_tool']",0.8666666666666667,0.08700255424092129,0.9071844608669117,0.04018326433273187,0.9344444444444444,0.03649184967348998
cost,rf,is_attack,3,5,"['prompt_tokens', 'response_tokens', 'total_tokens', 'latency_total_s', 'num_llm_calls']",0.6999999999999998,0.0463980363569169,0.8635209907937181,0.022446726599481884,0.7730555555555555,0.04885020565558126
