heldout_attack,model,n_train,n_test,balanced_accuracy,f1,roc_auc,auprc
DPI,rf,210,90,0.9333333333333333,0.9285714285714286,0.9894444444444445,0.9815213555710909
IPI,rf,210,90,0.7166666666666667,0.6046511627906976,0.9066666666666667,0.8502079435481571
byzantine,rf,210,90,1.0,1.0,1.0,1.0
colluding,rf,210,90,0.8333333333333333,0.8,0.9766666666666667,0.962036296261354
contradicting,rf,210,90,0.9333333333333333,0.9285714285714286,0.9877777777777779,0.982143170838823
impersonation,rf,210,90,1.0,1.0,1.0,1.0
