experiment,heldout_seed,model,n_train,n_test,num_classes_train,num_classes_test,classes_train,classes_test,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
akc_all_phases,1,rf,160,80,4,4,"agency_propagation,benign,cognitive_compromise,semantic_infection","agency_propagation,benign,cognitive_compromise,semantic_infection",0.825,0.7916666666666666,0.7875849007314525,0.7916666666666666,0.7849132976251619,0.8314720480668758,0.825,0.8236542177220144
akc_all_phases,2,rf,160,80,4,4,"agency_propagation,benign,cognitive_compromise,semantic_infection","agency_propagation,benign,cognitive_compromise,semantic_infection",0.8375,0.775,0.8085087719298245,0.775,0.7807692307692308,0.8376754385964912,0.8375,0.8307692307692308
akc_all_phases,3,rf,160,80,4,4,"agency_propagation,benign,cognitive_compromise,semantic_infection","agency_propagation,benign,cognitive_compromise,semantic_infection",0.8125,0.7708333333333334,0.8028054971988796,0.7708333333333334,0.7786471567306481,0.8111760329131652,0.8125,0.8059241965788455
