feature_group,model,num_features,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,auprc_mean,auprc_std
all,rf,7,0.8777777777777779,0.041107357185968744,0.945166284559939,0.011915016842882353,0.9641666666666667,0.012275766552213557,0.9881967098886064,0.0039732550291177475
tool_use,rf,2,0.8638888888888889,0.06028481781725197,0.9174635371389935,0.027246315595287913,0.9325,0.033528076957148045,0.9793567066577286,0.010679806266801754
cost,rf,5,0.6972222222222223,0.020971762320196506,0.8529215880825847,0.028463449247483986,0.7765277777777776,0.046793602166361435,0.9018541666491372,0.04080888622290566
